date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:49	2023/2023	U-----	200	untouched ('OK')	text/html	etag:%227e7-491bac1a8fd4e%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/other-patents.html	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/other-patents.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:49	6055/6055	U-----	200	untouched ('OK')	text/html	etag:%2217a7-491ba3828f3f0%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/xilinx-patents.html	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Patents/xilinx-patents.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Patents/)
16:47:49	748869/748869	U-----	200	untouched ('')	application/pdf	etag:%22b6d45-48ffe03ea6240%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/3000.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/3000.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:49	613180/613180	U-----	200	untouched ('')	application/pdf	etag:%2295b3c-48ffed9f4b200%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/5200.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/5200.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:49	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:12%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/m4ad.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/m4ad.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:50	6048989/6048989	U-----	200	untouched ('')	application/pdf	etag:%225c4cdd-48ffe6b451fc0%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell3.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell3.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:50	199/199	---M--	403	error ('Forbidden')	text/html	date:Thu,%2001%20Apr%202021%2008:46:20%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/virtex.htm	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/virtex.htm	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:50	6777172/6777172	U-----	200	untouched ('')	application/pdf	etag:%22676954-4904501fad1c9%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell8.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell8.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:50	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:12%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xc2000.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xc2000.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:51	11226472/11226472	U-----	200	untouched ('')	application/pdf	etag:%22ab4d68-48ffe833b2840%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell10.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell10.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
